match_id,date,match_home_team,latitude_from,longitude_from,next_team,latitude_next,longitude_next,distance_km,avg_talent
Richmond Kickers vs. FC Naples,2025-08-02,Richmond Kickers,37.5817846,-77.4884784,Monterey Bay FC,36.652918,-121.809193,0.1105035092548473,0.3028073575741508
Monterey Bay FC vs. FC Tulsa,2025-08-06,Monterey Bay FC,36.652918,-121.809193,Rhode Island FC,41.8684026,-71.3831786,0.0137474283800276,0.4367926824236963
Oakland Roots SC vs. Colorado Springs Switchbacks FC,2025-08-09,Oakland Roots SC,37.7255905,-122.2324865,Westchester SC,40.711376,-74.004442,0.0597871054116055,0.337028616217577
Westchester SC vs. South Georgia Tormenta FC,2025-08-10,Westchester SC,40.711376,-74.004442,North Carolina FC,35.7873226,-78.7542068,0.8435557377094003,0.2484568888108528
North Carolina FC vs. Detroit City FC,2025-08-15,North Carolina FC,35.7873226,-78.7542068,Sacramento Republic FC,38.5616356,-121.4907504,0.1400098531234913,0.4266736161197729
Sacramento Republic FC vs. Oakland Roots SC,2025-08-16,Sacramento Republic FC,38.5616356,-121.4907504,Portland Hearts of Pine,43.6593917,-70.2638855,0.0266444323150512,0.381233575621738
Portland Hearts of Pine vs. Spokane Velocity FC,2025-08-17,Portland Hearts of Pine,43.6593917,-70.2638855,Orange County SC,36.216459,-119.328777,0.0402916586604782,0.3567185142369338
Orange County SC vs. San Antonio FC,2025-08-20,Orange County SC,36.216459,-119.328777,Forward Madison FC,43.08438492,-89.37054443,0.3924936253727863,0.4356201370814108
Forward Madison FC vs. Spokane Velocity FC,2025-08-21,Forward Madison FC,43.08438492,-89.37054443,Monterey Bay FC,36.652918,-121.809193,0.3513427524778956,0.3689217983963375
Monterey Bay FC vs. San Antonio FC,2025-08-23,Monterey Bay FC,36.652918,-121.809193,Westchester SC,40.711376,-74.004442,0.0582093233136452,0.4138616040130674
Westchester SC vs. Portland Hearts of Pine,2025-08-24,Westchester SC,40.711376,-74.004442,Forward Madison FC,43.08438492,-89.37054443,0.7037185409487399,0.2484396503695176
One Knoxville SC vs. FC Naples,2025-08-27,One Knoxville SC,35.97233,-83.915533,Oakland Roots SC,37.7255905,-122.2324865,0.2253820429133967,0.3410813531592935
Oakland Roots SC vs. Monterey Bay FC,2025-08-30,Oakland Roots SC,37.7255905,-122.2324865,One Knoxville SC,35.97233,-83.915533,0.2253820429133967,0.3574856239559836
One Knoxville SC vs. Spokane Velocity FC,2025-08-31,One Knoxville SC,35.97233,-83.915533,Hartford Athletic,41.7539073,-72.661055,0.7339912693951809,0.4115414135038395
Hartford Athletic vs. Indy Eleven,2025-09-03,Hartford Athletic,41.7539073,-72.661055,Phoenix Rising FC,33.4586015,-112.069558,0.1873745744563019,0.3367745647267485
Phoenix Rising FC vs. Las Vegas Lights FC,2025-09-05,Phoenix Rising FC,33.4586015,-112.069558,Rhode Island FC,41.8684026,-71.3831786,0.1631074898575651,0.3717046904734317
