match,date,from_team,latitude_from,longitude_from,next_home,latitude_next,longitude_next,distance,avg_talent
Forward Madison FC vs. Spokane Velocity FC,2025-08-21,Forward Madison FC,43.08438492,-89.37054443,Richmond Kickers,37.5817846,-77.4884784,732.2783538154234,0.3689217983963375
Richmond Kickers vs. One Knoxville SC,2025-08-23,Richmond Kickers,37.5817846,-77.4884784,Westchester SC,40.711376,-74.004442,285.662012778815,0.3315343595790498
Westchester SC vs. Portland Hearts of Pine,2025-08-24,Westchester SC,40.711376,-74.004442,Forward Madison FC,43.08438492,-89.37054443,807.8459499305021,0.2484396503695176
Forward Madison FC vs. Texoma FC,2025-08-27,Forward Madison FC,43.08438492,-89.37054443,Chattanooga Red Wolves SC,35.05036163,-85.31054688,595.4627976337124,0.2556278904019884
Westchester SC vs. Richmond Kickers,2025-09-03,Westchester SC,40.711376,-74.004442,Lexington SC,37.9589802,-84.3935367,587.6213889691435,0.2649885540512805
Lexington SC vs. North Carolina FC,2025-09-05,Lexington SC,37.9589802,-84.3935367,Oakland Roots SC,37.7255905,-122.2324865,2055.0744884478886,0.3719235656039916
New Mexico United vs. Detroit City FC,2025-09-10,New Mexico United,35.0795,-106.606,Charlotte Independence,35.2198156,-80.8292123,1455.390261999495,0.3988569321162881
Charlotte Independence vs. FC Naples,2025-09-12,Charlotte Independence,35.2198156,-80.8292123,Charleston Battery,32.7915338,-79.9024332,175.61547057145938,0.371905925822045
Louisville City FC vs. Las Vegas Lights FC,2025-09-20,Louisville City FC,38.2716112,-85.7085769,Spokane Velocity FC,47.667363,-117.420367,1718.4128764156942,0.3974616031589684
Spokane Velocity FC vs. Chattanooga Red Wolves SC,2025-09-21,Spokane Velocity FC,47.667363,-117.420367,Colorado Springs Switchbacks FC,38.8955559,-104.7132438,879.5945215739075,0.3764345505530008
FC Tulsa vs. Lexington SC,2025-10-04,FC Tulsa,36.0463933,-95.9494684,Rhode Island FC,41.8684026,-71.3831786,1377.2385338060842,0.3991657023897565
Rhode Island FC vs. Las Vegas Lights FC,2025-10-05,Rhode Island FC,41.8684026,-71.3831786,Charlotte Independence,35.2198156,-80.8292123,686.3396240839829,0.3633288082450394
Charlotte Independence vs. AV Alta FC,2025-10-10,Charlotte Independence,35.2198156,-80.8292123,Rhode Island FC,41.8684026,-71.3831786,686.3396240839829,0.3648898801986309
Lexington SC vs. Sacramento Republic FC,2025-10-17,Lexington SC,37.9589802,-84.3935367,Indy Eleven,39.7658,-86.156,156.7360818933749,0.4061267132384578
