match,date,from_team,latitude_from,longitude_from,next_date,next_home,latitude_next,longitude_next,distance,talent
Oakland Roots SC vs Colorado Springs Switchbacks FC,2025-08-09,Oakland Roots SC,37.7255905,-122.2324865,2025-08-10,Westchester SC,40.711376,-74.004442,2563.6001030839325,0.0286152499036686
Westchester SC vs South Georgia Tormenta FC,2025-08-10,Westchester SC,40.711376,-74.004442,2025-08-15,North Carolina FC,35.7873226,-78.7542068,426.5635253924559,0.3329816310268707
North Carolina FC vs Detroit City FC,2025-08-15,North Carolina FC,35.7873226,-78.7542068,2025-08-16,Sacramento Republic FC,38.5616356,-121.4907504,2344.863426010492,0.255377127267215
Sacramento Republic FC vs Oakland Roots SC,2025-08-16,Sacramento Republic FC,38.5616356,-121.4907504,2025-08-17,Portland Hearts of Pine,43.6593917,-70.2638855,2653.9674663224464,0.2135092250260738
Portland Hearts of Pine vs Spokane Velocity FC,2025-08-17,Portland Hearts of Pine,43.6593917,-70.2638855,2025-08-20,Union Omaha,41.15111542,-96.10290527,1327.5677760581214,0.2381450938606529
Union Omaha vs Charlotte Independence,2025-08-20,Union Omaha,41.15111542,-96.10290527,2025-08-21,Forward Madison FC,43.08438492,-89.37054443,370.65359026764736,0.23435053152688
Forward Madison FC vs Spokane Velocity FC,2025-08-21,Forward Madison FC,43.08438492,-89.37054443,2025-08-23,Monterey Bay FC,36.652918,-121.809193,1768.6396306464069,0.3111007121102914
Monterey Bay FC vs San Antonio FC,2025-08-23,Monterey Bay FC,36.652918,-121.809193,2025-08-24,Westchester SC,40.711376,-74.004442,2567.902109972219,0.0285858093338376
Westchester SC vs Portland Hearts of Pine,2025-08-24,Westchester SC,40.711376,-74.004442,2025-08-27,One Knoxville SC,35.97233,-83.915533,629.2510371095223,0.1868033921892268
One Knoxville SC vs FC Naples,2025-08-27,One Knoxville SC,35.97233,-83.915533,2025-08-30,Oakland Roots SC,37.7255905,-122.2324865,2112.0861945923725,0.2148193288117128
Oakland Roots SC vs Monterey Bay FC,2025-08-30,Oakland Roots SC,37.7255905,-122.2324865,2025-08-31,One Knoxville SC,35.97233,-83.915533,2112.0861945923725,0.3071381885050522
One Knoxville SC vs Spokane Velocity FC,2025-08-31,One Knoxville SC,35.97233,-83.915533,2025-09-03,Hartford Athletic,41.7539073,-72.661055,725.3038254684642,0.1794480690987921
Hartford Athletic vs Indy Eleven,2025-09-03,Hartford Athletic,41.7539073,-72.661055,2025-09-05,Phoenix Rising FC,33.4586015,-112.069558,2215.717989705354,0.2391032772615346
Phoenix Rising FC vs Las Vegas Lights FC,2025-09-05,Phoenix Rising FC,33.4586015,-112.069558,2025-09-06,Miami FC,25.7639,-80.1899,1981.8419119681648,0.1641688063165925
Miami FC vs Hartford Athletic,2025-09-06,Miami FC,25.7639,-80.1899,2025-09-07,Spokane Velocity FC,47.667363,-117.420367,2521.43660938031,0.1934883290712247
Spokane Velocity FC vs Westchester SC,2025-09-07,Spokane Velocity FC,47.667363,-117.420367,2025-09-10,New Mexico United,35.0795,-106.606,1032.4728662295722,0.285475072171076
New Mexico United vs Detroit City FC,2025-09-10,New Mexico United,35.0795,-106.606,2025-09-12,North Carolina FC,35.7873226,-78.7542068,1566.9414803704728,0.3163273013450935
